Code,Year,Est
CHN,2017,9724.674
CHN,2018,10711.395999999999
CIV,2012,1053.914
CIV,2013,1177.409
CIV,2014,1255.041
CIV,2015,1338.749
CIV,2016,1419.8519999999999
CIV,2017,1502.599
CIV,2018,1580.3709999999999
CMR,2012,1165.328
CMR,2013,1275.596
CMR,2014,1330.6499999999999
CMR,2015,1391.04
CMR,2016,1453.473
CMR,2017,1519.349
CMR,2018,1587.286
COD,2012,236.83800000000002
COD,2013,251.35000000000002
COD,2014,262.085
COD,2015,274.29499999999996
COD,2016,288.057
COD,2017,302.007
COD,2018,312.524
COG,2012,3346.001
COG,2013,3546.3710000000005
COG,2014,3543.547
COG,2015,3998.545
COG,2016,3980.181
COG,2017,4513.215
COG,2018,4615.387
COL,2012,7854.836
COL,2013,8237.727
COL,2014,8630.336
COL,2015,9038.333
COL,2016,9486.324
COL,2017,9969.819
COL,2018,10513.565999999999
COM,2012,865.143
COM,2013,924.7940000000001
COM,2014,966.134
COM,2015,1007.838
COM,2016,1052.335
COM,2017,1098.5539999999999
COM,2018,1148.1739999999998
CPV,2012,3603.9100000000003
CPV,2013,3946.1710000000003
CPV,2014,4170.108
CPV,2015,4408.277999999999
CPV,2016,4667.426
CPV,2017,4944.028
CPV,2018,5237.885
CRI,2012,9672.908
CRI,2013,10362.613000000001
CRI,2014,11248.12
CRI,2015,12207.4
CRI,2016,13171.181
CRI,2017,14133.833
CRI,2018,15169.288
CYP,2013,NA
CYP,2014,NA
CYP,2015,NA
CYP,2016,NA
CYP,2017,NA
CYP,2018,NA
CZE,2012,18579.310999999998
CZE,2013,19243.053
CZE,2014,19500.698
CZE,2015,20020.14
CZE,2016,20569.332
CZE,2017,20989.386000000002
CZE,2018,21443.556
DEU,2013,44010.366
DEU,2014,44870.350000000006
DEU,2015,45813.556000000004
DEU,2016,46823.702
DEU,2017,47847.333
DEU,2018,48903.012
DJI,2012,1522.9450000000002
DJI,2013,1593.8719999999998
DJI,2014,1668.0729999999999
DJI,2015,1754.5739999999998
DJI,2016,1851.045
DJI,2017,1952.812
DJI,2018,2059.908
DMA,2012,7022.036
DMA,2013,7306.416
DMA,2014,7534.6630000000005
DMA,2015,7790.4039999999995
DMA,2016,8084.852000000001
DMA,2017,8412.446
DMA,2018,8671.414999999999
DNK,2012,56202.22299999999
DNK,2013,58668.005
DNK,2014,59166.48
DNK,2015,59870.147
DNK,2016,60908.398
DNK,2017,60826.755
DNK,2018,60745.4
DOM,2012,5762.982
DOM,2013,5789.406
DOM,2014,5556.4039999999995
DOM,2015,5814.541
DOM,2016,5997.374
DOM,2017,6182.737999999999
DOM,2018,6377.842000000001
DZA,2012,5693.9839999999995
DZA,2013,5683.1630000000005
DZA,2014,5644.137
DZA,2015,5614.63
DZA,2016,5670.151000000001
DZA,2017,5736.079
DZA,2018,5975.677
ECU,2012,5310.629000000001
ECU,2013,5627.1140000000005
ECU,2014,5949.886
ECU,2015,6233.775
ECU,2016,6524.554
ECU,2017,6843.325000000001
ECU,2018,7167.963
EGY,2012,3111.8710000000005
EGY,2013,3145.584
EGY,2014,3131.236
EGY,2015,3263.3570000000004
EGY,2016,3495.217
EGY,2017,3752.44
EGY,2018,4003.4120000000003
ERI,2012,546.3159999999999
ERI,2013,602.438
ERI,2014,656.069
ERI,2015,711.0649999999999
ERI,2016,775.1830000000001
ERI,2017,832.7760000000001
ERI,2018,894.217
ESP,2013,30107.698
ESP,2014,30514.825
ESP,2015,31176.043
ESP,2016,31874.577
ESP,2017,32639.578999999998
ESP,2018,33451.962
EST,2013,18026.795000000002
EST,2014,18982.536
EST,2015,19891.337
EST,2016,20881.283000000003
EST,2017,21950.974000000002
EST,2018,23110.589
ETH,2012,482.967
ETH,2013,521.171
ETH,2014,546.429
ETH,2015,585.124
ETH,2016,623.394
ETH,2017,661.2700000000001
ETH,2018,702.824
FIN,2012,46098.328
FIN,2013,48706.778
FIN,2014,49861.811
FIN,2015,51111.293999999994
FIN,2016,52607.437
FIN,2017,54168.369
FIN,2018,55779.616
FJI,2012,4445.162000000001
FJI,2013,4599.553
FJI,2014,4756.636
FJI,2015,4898.317
FJI,2016,5044.215
FJI,2017,5195.359
FJI,2018,5351.965
FRA,2012,41140.708999999995
FRA,2013,42999.973
FRA,2014,43581.516
FRA,2015,44387.049
FRA,2016,45350.074
FRA,2017,46443.871
FRA,2018,47636.435
FSM,2012,3185.087
FSM,2013,3307.0750000000003
FSM,2014,3412.637
FSM,2015,3500.42
FSM,2016,3570.137
FSM,2017,3639.3010000000004
FSM,2018,3705.996
GAB,2012,11928.744000000002
GAB,2013,12349.663
GAB,2014,12692.695
GAB,2015,13066.163
GAB,2016,13607.973
GAB,2017,14353.256
GAB,2018,14386.328
GBR,2012,38588.808000000005
GBR,2013,38001.69099999999
GBR,2014,38957.793999999994
GBR,2015,40312.863
GBR,2016,41769.753
GBR,2017,43331.024999999994
GBR,2018,45146.7
GEO,2012,3542.8770000000004
GEO,2013,3762.5350000000003
GEO,2014,3945.9500000000003
GEO,2015,4189.046
GEO,2016,4561.298
GEO,2017,4995.999
GEO,2018,5462.965
GHA,2012,1562.222
GHA,2013,1670.9850000000001
GHA,2014,1803.5829999999999
GHA,2015,1964.285
GHA,2016,2117.965
GHA,2017,2274.076
GHA,2018,2432.6679999999997
GIN,2012,518.885
GIN,2013,563.8509999999999
GIN,2014,556.6740000000001
GIN,2015,581.572
GIN,2016,614.6030000000001
GIN,2017,711.9619999999999
GIN,2018,817.009
GMB,2012,502.964
GMB,2013,531.5780000000001
GMB,2014,566.1800000000001
GMB,2015,590.9509999999999
GMB,2016,615.665
GMB,2017,643.8399999999999
GMB,2018,674.599
GNB,2012,551.086
GNB,2013,582.692
GNB,2014,628.8199999999999
GNB,2015,646.636
GNB,2016,671.2669999999999
GNB,2017,702.018
GNB,2018,734.1780000000001
GNQ,2012,23133.071
GNQ,2013,21766.844
GNQ,2014,20527.409
GNQ,2015,18098.567000000003
GNQ,2016,18086.462000000003
GNQ,2017,16798.144
GNQ,2018,15385.279
GRC,2012,22055.361
GRC,2013,21645.474000000002
GRC,2014,21562.153
GRC,2015,22158.383
GRC,2016,23083.765000000003
GRC,2017,24063.242000000002
GRC,2018,25067.308
GRD,2012,7496.458
GRD,2013,7784.820000000001
GRD,2014,8123.54
GRD,2015,8516.407
GRD,2016,8963.427
GRD,2017,9460.776
GRD,2018,9995.049
GTM,2012,3302.251
GTM,2013,3414.637
GTM,2014,3532.269
GTM,2015,3645.46
GTM,2016,3764.172
GTM,2017,3894.0310000000004
GTM,2018,4021.01
GUY,2012,3596.4330000000004
GUY,2013,3871.675
GUY,2014,4184.839
GUY,2015,4537.499
GUY,2016,4799.1
GUY,2017,5052.506
GUY,2018,5324.646000000001
HKG,2012,36667.144
HKG,2013,38797.475
HKG,2014,41727.69499999999
HKG,2015,44820.632999999994
HKG,2016,48211.274
HKG,2017,51872.657
HKG,2018,55616.66099999999
HND,2012,2242.229
HND,2013,2272.482
HND,2014,2306.563
HND,2015,2339.3070000000002
HND,2016,2359.996
HND,2017,2362.085
HND,2018,2369.956
HRV,2012,12971.754
HRV,2013,13654.967999999999
HRV,2014,14148.775
HRV,2015,14760.955999999998
HRV,2016,15391.729000000001
HRV,2017,16132.775
HRV,2018,16909.5
HTI,2012,758.8489999999999
HTI,2013,827.425
HTI,2014,883.764
HTI,2015,956.989
HTI,2016,1030.609
HTI,2017,1104.1799999999998
HTI,2018,1179.397
HUN,2012,12735.725
HUN,2013,13344.158
HUN,2014,13965.922
HUN,2015,14542.062
HUN,2016,15148.617
HUN,2017,15798.525
HUN,2018,16468.45
IDN,2012,3592.285
IDN,2013,3816.802
IDN,2014,4105.09
IDN,2015,4429.6990000000005
IDN,2016,4762.927
IDN,2017,5136.062000000001
IDN,2018,5569.166000000001
IND,2012,1491.888
IND,2013,1591.951
IND,2014,1695.3
IND,2015,1814.3639999999998
IND,2016,1947.726
IND,2017,2095.0950000000003
IND,2018,2249.2859999999996
IRL,2012,45888.272999999994
IRL,2013,48229.731999999996
IRL,2014,49295.415
IRL,2015,50766.79299999999
IRL,2016,52119.688
IRL,2017,53557.431
IRL,2018,55029.55
IRN,2012,7211.196000000001
IRN,2013,5567.64
IRN,2014,4639.441
IRN,2015,4908.036999999999
IRN,2016,5271.684
IRN,2017,5708.285
IRN,2018,6175.794
IRQ,2012,6305.082
IRQ,2013,6708.386
IRQ,2014,7073.585
IRQ,2015,7466.125000000001
IRQ,2016,7997.9439999999995
IRQ,2017,8559.804999999998
IRQ,2018,9184.557999999999
ISL,2012,41739.162
ISL,2013,44120.784
ISL,2014,46322.552
ISL,2015,47614.998
ISL,2016,48991.443
ISL,2017,51265.258
ISL,2018,53649.384000000005
ISR,2013,32247.805
ISR,2014,33372.758
ISR,2015,34392.957
ISR,2016,35481.008
ISR,2017,36594.214
ISR,2018,37877.598
ITA,2013,34034.385
ITA,2014,34291.118
ITA,2015,34829.313
ITA,2016,35472.121999999996
ITA,2017,36183.916000000005
ITA,2018,36847.953
JAM,2012,5540.668000000001
JAM,2013,5600.889
JAM,2014,5909.610000000001
JAM,2015,6231.412
JAM,2016,6554.572999999999
JAM,2017,6882.867
JAM,2018,7207.847
JOR,2012,4878.781
JOR,2013,5207.311000000001
JOR,2014,5478.567
JOR,2015,5747.323
JOR,2016,6024.529
JOR,2017,6309.4039999999995
JOR,2018,6598.895
JPN,2013,40441.752
JPN,2014,41596.466
JPN,2015,42757.108
JPN,2016,43978.674
JPN,2017,45590.073
JPN,2018,47280.654
KAZ,2013,12708.168
KAZ,2014,13610.837
KAZ,2015,14856.099
KAZ,2016,16165.438
KAZ,2017,17739.121
KAZ,2018,19486.349
KEN,2012,976.549
KEN,2013,1072.8519999999999
KEN,2014,1171.204
KEN,2015,1268.48
KEN,2016,1357.026
KEN,2017,1481.577
KEN,2018,1579.516
KGZ,2012,1158.469
KGZ,2013,1281.828
KGZ,2014,1410.6879999999999
KGZ,2015,1513.8029999999999
KGZ,2016,1609.046
KGZ,2017,1716.549
KGZ,2018,1835.1989999999998
KHM,2012,933.609
KHM,2013,1017.22
KHM,2014,1111.004
KHM,2015,1214.6729999999998
KHM,2016,1327.856
KHM,2017,1452.984
KHM,2018,1582.719
KIR,2012,1645.9460000000001
KIR,2013,1711.5639999999999
KIR,2014,1717.496
KIR,2015,1723.764
KIR,2016,1733.959
KIR,2017,1743.9260000000002
KIR,2018,1753.9470000000001
KNA,2012,12803.517
KNA,2013,13118.240000000002
KNA,2014,13605.231000000002
KNA,2015,14124.686
KNA,2016,14685.573
KNA,2017,15270.68
KNA,2018,15878.082
KOR,2012,23112.931
KOR,2013,25050.678999999996
KOR,2014,26491.075
KOR,2015,28091.56
KOR,2016,29848.538999999997
KOR,2017,31691.902000000002
KOR,2018,33644.115
KWT,2012,45824.134999999995
KWT,2013,44584.838
KWT,2014,43823.544
KWT,2015,43676.076
KWT,2016,43767.496999999996
KWT,2017,43919.385
KWT,2018,45119.761999999995
LAO,2012,1445.5339999999999
LAO,2013,1587.1509999999998
LAO,2014,1707.557
LAO,2015,1850.46
LAO,2016,2005.272
LAO,2017,2173.774
LAO,2018,2353.546
LBN,2012,10310.958999999999
LBN,2013,10793.473
LBN,2014,11348.314
LBN,2015,11888.384
LBN,2016,12453.703000000001
LBN,2017,13043.908
LBN,2018,13659.404999999999
LBR,2012,436.35400000000004
LBR,2013,480.92799999999994
LBR,2014,500.177
LBR,2015,559.241
LBR,2016,575.991
LBR,2017,601.5649999999999
LBR,2018,643.554
LBY,2012,12777.781
LBY,2013,14760.799
LBY,2014,15161.436
LBY,2015,15775.298
LBY,2016,16410.184
LBY,2017,16890.409
LBY,2018,17470.262000000002
LCA,2012,7276.086
LCA,2013,7620.748
LCA,2014,7992.731
LCA,2015,8337.464999999998
LCA,2016,8721.702000000001
LCA,2017,9112.945
LCA,2018,9569.965999999999
LKA,2012,2872.622
LKA,2013,3134.481
LKA,2014,3359.9170000000004
LKA,2015,3630.77
LKA,2016,3933.2479999999996
LKA,2017,4269.121000000001
LKA,2018,4633.091
LSO,2012,1282.6829999999998
LSO,2013,1372.3639999999998
LSO,2014,1462.6619999999998
LSO,2015,1570.901
LSO,2016,1687.3519999999999
LSO,2017,1812.1439999999998
LSO,2018,1958.8239999999998
LTU,2012,14018.356999999998
LTU,2013,15358.498
LTU,2014,16378.721000000001
LTU,2015,17410.816
LTU,2016,18519.128
LTU,2017,19872.280000000002
LTU,2018,21314.261000000002
LUX,2012,107206.369
LUX,2013,112135.31
LUX,2014,112403.931
LUX,2015,113112.613
LUX,2016,114408.46199999998
LUX,2017,115886.307
LUX,2018,117392.479
LVA,2013,15284.903
LVA,2014,16178.9
LVA,2015,17175.855
LVA,2016,18195.537
LVA,2017,19292.671
LVA,2018,20446.928000000004
MAR,2012,2998.886
MAR,2013,3260.3140000000003
MAR,2014,3446.008
MAR,2015,3654.5330000000004
MAR,2016,3887.032
MAR,2017,4176.084
MAR,2018,4490.272999999999
MDA,2013,2218.3070000000002
MDA,2014,2389.898
MDA,2015,2595.942
MDA,2016,2820.604
MDA,2017,3066.569
MDA,2018,3333.983
MDG,2012,451.48199999999997
MDG,2013,465.91799999999995
MDG,2014,479.564
MDG,2015,494.97499999999997
MDG,2016,534.4159999999999
MDG,2017,577.3569999999999
MDG,2018,622.7840000000001
MDV,2012,6674.669000000001
MDV,2013,7097.6500000000005
MDV,2014,7714.257
MDV,2015,8318.694000000001
MDV,2016,8944.735
MDV,2017,9632.765
MDV,2018,10318.805999999999
MEX,2013,10989.103000000001
MEX,2014,11408.102
MEX,2015,11877.972
MEX,2016,12392.934000000001
MEX,2017,12942.866999999998
MEX,2018,13579.565999999999
MHL,2012,3339.987
MHL,2013,3436.906
MHL,2014,3496.4970000000003
MHL,2015,3529.8160000000003
MHL,2016,3590.462
MHL,2017,3652.771
MHL,2018,3715.656
MKD,2012,4682.657
MKD,2013,5050.232
MKD,2014,5266.361000000001
MKD,2015,5567.24
MKD,2016,5915.509
MKD,2017,6257.704
MKD,2018,6625.115000000001
